customer_id,first_name,last_name,email,phone,join_date
51,Shawn,Santiago,nicolepena@yahoo.com,+1-640-537-7351x585,8/31/2022
52,Raymond,Lopez,ndavis@fowler.com,293.183.9335,1/13/2023
53,Kristina,Carlson,vanessafernandez@gmail.com,020-539-5024,8/18/2022
54,David,Fisher,alvarezkimberly@wheeler.org,8470076617,4/17/2024
55,Charles,Miller,martinezclaudia@kelley.net,789-611-8367x3657,2/7/2024
56,Robert,Davis,elizabeth52@hotmail.com,111.161.5280x9885,4/3/2025
57,David,Gomez,schmittcaroline@yahoo.com,983-273-1585,11/23/2022
58,Kathryn,Andrews,lynchdiane@hotmail.com,024-455-0229x612,2/5/2025
59,Teresa,Davis,vbarnes@wood.com,001-991-022-9014x76797,3/2/2024
60,Joshua,Fischer,russell49@rose-parker.com,(900)343-2445x1076,2/25/2023
61,David,Patel,charles06@stevens.com,001-696-641-6052,1/13/2025
62,Steve,Norris,kimdaniel@yahoo.com,001-681-645-3521,7/30/2024
63,Cynthia,Schmidt,michael23@thomas.com,+1-212-779-9799x552,4/11/2024
64,Carlos,Ramos,brittany58@gmail.com,770-054-1199x8679,10/6/2024
65,Stephanie,Stevenson,kstout@lopez.com,151.820.3778x892,12/15/2023
66,Nathan,Campbell,erika05@gmail.com,186-449-2519x25462,12/8/2024
67,Jeanne,Miller,lisa81@hotmail.com,+1-685-054-2357x33221,8/31/2023
68,Megan,Garcia,nancy92@bennett.org,(706)537-9473,9/4/2024
69,John,Sheppard,michealvalentine@yahoo.com,468.862.3924x075,10/6/2024
70,Sarah,Dawson,christopher24@whitehead-hernandez.biz,375-060-6853,1/18/2024
71,Virginia,Brooks,sarah52@johnson.com,001-779-010-4328x98614,6/2/2023
72,Kevin,Williams,fbrown@hotmail.com,-6507,6/6/2023
73,Ashley,Lopez,carlos88@hartman.info,6540515319,10/27/2023
74,Dennis,Bell,mariacohen@hotmail.com,221.704.3030x5486,9/18/2024
75,Thomas,Johnson,michael05@martinez-richardson.biz,001-765-277-5841x6169,3/5/2023
76,Amy,Morris,donna47@robbins.info,5964016582,7/16/2022
77,Douglas,Lawson,martinezjoel@hotmail.com,(569)092-7557x192,8/28/2024
78,Michael,Edwards,susanjohnson@gmail.com,868.144.7394x7312,9/21/2022
79,Shannon,Roach,cochrantammy@yahoo.com,+1-518-844-2258x31323,7/4/2024
80,Anthony,Spencer,jlara@gmail.com,+1-114-678-6691x251,4/27/2024
81,Steven,Holmes,katrinaanderson@bartlett.com,225-358-4143x8424,1/7/2025
82,Amanda,Shaw,georgeweber@morgan.com,094-396-9078,8/21/2023
83,Dawn,Turner,eevans@brown.com,925-556-2588x15371,7/18/2023
84,Shannon,Thomas,sonia96@estes.com,001-532-787-7470,10/15/2022
85,Sierra,Wagner,brandywilliams@simpson-khan.info,801-624-5650x6098,3/27/2023
86,Michael,Roberts,rduran@hotmail.com,+1-912-165-5852x39868,7/30/2022
87,Brandon,Taylor,jstone@hotmail.com,259.526.9495x88879,9/6/2023
88,Thomas,Smith,whitneybrandy@hotmail.com,001-097-499-3097x289,1/9/2024
89,Dylan,Becker,leescott@hernandez-vaughn.biz,970.283.8578x65278,11/11/2023
90,Amy,Lowe,plee@yahoo.com,-6628,7/27/2023
91,Keith,Berry,xcardenas@gmail.com,041-574-7338x4842,11/14/2022
92,Christina,Matthews,santiagoamanda@hall.info,208-267-7345,8/15/2023
93,Debbie,Velez,amandasharp@gentry.biz,(067)240-0499,11/11/2022
94,Sarah,Rogers,ismall@hotmail.com,431.527.4205x493,2/25/2023
95,Cheryl,Fowler,frobertson@yahoo.com,+1-122-753-0463x74549,11/3/2024
96,Alexander,Valdez,contrerassteven@sullivan.com,001-145-933-2727x956,5/23/2025
97,Andrea,Ruiz,erinlarson@fox.com,910-883-9822,10/20/2023
98,Melissa,Ramos,gdavis@stokes-chavez.net,(790)874-0640x39106,11/15/2023
99,Isabella,Weaver,andersenthomas@ortiz-mack.biz,(676)618-2512x868,12/12/2022
100,Jessica,Walker,goodsteven@stephens.com,524.310.6903x311,12/6/2024
